id,scrapedrecipeguid,name,modelledname
2785,70d5a4c9-75ac-40d8-96d0-592efabff55f,20 baby plum tomato,baby plum tomato
2786,70d5a4c9-75ac-40d8-96d0-592efabff55f,"250g pack chestnut mushroom, halved",pack chestnut mushroom
2787,70d5a4c9-75ac-40d8-96d0-592efabff55f,"8 rashers smoked streaky bacon, wrapped around 2 fingers to form coils",rashers bacon
2788,70d5a4c9-75ac-40d8-96d0-592efabff55f,4 good-quality pork sausage,pork sausage
2789,70d5a4c9-75ac-40d8-96d0-592efabff55f,2&#189; tbsp olive oil,olive oil
2790,70d5a4c9-75ac-40d8-96d0-592efabff55f,2 tsp sherry vinegar,tsp sherry vinegar
2791,70d5a4c9-75ac-40d8-96d0-592efabff55f,2 tsp Dijon mustard,Dijon mustard
2792,70d5a4c9-75ac-40d8-96d0-592efabff55f,4 egg,egg
2793,70d5a4c9-75ac-40d8-96d0-592efabff55f,100g bag salad leaf,salad leaf
2794,70d5a4c9-75ac-40d8-96d0-592efabff55f,"8 thin diagonal slices baguette, toasted",baguette
2795,75bbac67-bc96-45a7-98c1-1205cf27661f,"2kg floury potato, such as Maris Piper, peeled and halved",potato
2796,75bbac67-bc96-45a7-98c1-1205cf27661f,"2 x 400g tins haricot beans, drained and rinsed",x 400g tins haricot beans
2797,75bbac67-bc96-45a7-98c1-1205cf27661f,300ml single cream,single cream
2798,75bbac67-bc96-45a7-98c1-1205cf27661f,100g unsalted butter,unsalted butter
2799,75bbac67-bc96-45a7-98c1-1205cf27661f,3 tbsp truffle oil,truffle oil
2800,75bbac67-bc96-45a7-98c1-1205cf27661f,freshly grated nutmeg,nutmeg
2801,1a7d7238-ca14-43d4-ade0-75c12a439f65,2 tsp vegetable oil,tsp vegetable oil
2802,1a7d7238-ca14-43d4-ade0-75c12a439f65,"2 egg, beaten",egg
2803,1a7d7238-ca14-43d4-ade0-75c12a439f65,1-2 tbsp red Thai curry paste,curry paste
2804,1a7d7238-ca14-43d4-ade0-75c12a439f65,800g leftover cooked rice (275g uncooked),rice
2805,1a7d7238-ca14-43d4-ade0-75c12a439f65,"300g frozen peeled prawn, defrosted",300g frozen peeled prawn
2806,1a7d7238-ca14-43d4-ade0-75c12a439f65,"175g frozen sliced green bean, defrosted",frozen green bean
2807,1a7d7238-ca14-43d4-ade0-75c12a439f65,"juice 1 lime, plus extra wedges to serve",lime
2808,1a7d7238-ca14-43d4-ade0-75c12a439f65,"1 tbsp Thai fish sauce, plus extra to serve",fish sauce
2809,1a7d7238-ca14-43d4-ade0-75c12a439f65,"shredded cucumber, sliced red chilli and coriander leaves, to garnish (optional)",cucumber
2810,c1c62b4f-6752-466f-a8f8-72f73869c17d,"500ml chicken stock, heated",chicken stock
2811,c1c62b4f-6752-466f-a8f8-72f73869c17d,340g jar smooth peanut butter,peanut butter
2812,c1c62b4f-6752-466f-a8f8-72f73869c17d,"2 onion, halved and thinly sliced",onion
2813,c1c62b4f-6752-466f-a8f8-72f73869c17d,3 tbsp sunflower oil,sunflower oil
2814,c1c62b4f-6752-466f-a8f8-72f73869c17d,3 tbsp finely chopped ginger,ginger
2815,c1c62b4f-6752-466f-a8f8-72f73869c17d,&#189;-1 tsp cayenne pepper (optional),tsp cayenne pepper
2816,c1c62b4f-6752-466f-a8f8-72f73869c17d,3 tsp ground coriander,tsp coriander
2817,c1c62b4f-6752-466f-a8f8-72f73869c17d,3 tsp ground cumin,tsp cumin
2818,c1c62b4f-6752-466f-a8f8-72f73869c17d,"1-2 scotch bonnet chillies, deseeded and chopped",scotch bonnet chillies
2819,c1c62b4f-6752-466f-a8f8-72f73869c17d,2 bay leaf,bay leaf
2820,c1c62b4f-6752-466f-a8f8-72f73869c17d,400g can chopped tomato,tomato
2821,c1c62b4f-6752-466f-a8f8-72f73869c17d,"2 x 800g pack chicken thighs and drumsticks, skinned",x 800g pack chicken
2822,c1c62b4f-6752-466f-a8f8-72f73869c17d,"3 sweet potato, cut into chunks",sweet potato
2823,c1c62b4f-6752-466f-a8f8-72f73869c17d,"2 red pepper, deseeded and cut into chunks",red pepper
2824,c1c62b4f-6752-466f-a8f8-72f73869c17d,"good handful coriander, chopped, a little reserved for sprinkling",coriander
2825,c1c62b4f-6752-466f-a8f8-72f73869c17d,"rice and lime wedges, to serve (optional)",lime
2826,575919d8-2c2a-403d-9ec7-cf108f99cda0,85g diced butter,butter
2827,575919d8-2c2a-403d-9ec7-cf108f99cda0,350g self-raising flour,self-raising flour
2828,575919d8-2c2a-403d-9ec7-cf108f99cda0,&#188; tsp salt,tsp salt
2829,575919d8-2c2a-403d-9ec7-cf108f99cda0,1&#189; tsp bicarbonate of soda,1&#189; tsp bicarbonate of soda
2830,575919d8-2c2a-403d-9ec7-cf108f99cda0,4 tbsp caster sugar,sugar
2831,575919d8-2c2a-403d-9ec7-cf108f99cda0,"200ml milk, warmed to room temperature, plus a splash extra",200ml milk
2832,575919d8-2c2a-403d-9ec7-cf108f99cda0,"crushed sugar cubes, to decorate",sugar
2833,ab33d8f6-f1ec-4568-a052-d43f0578f21a,1 large cauliflower,cauliflower
2834,ab33d8f6-f1ec-4568-a052-d43f0578f21a,2 tbsp olive oil,olive oil
2835,ab33d8f6-f1ec-4568-a052-d43f0578f21a,"&#189; tsp each ground cinnamon, cumin and coriander","&#189; tsp each ground cinnamon, cumin and coriander"
2836,ab33d8f6-f1ec-4568-a052-d43f0578f21a,"2 tbsp harissa paste, plus extra drizzle",harissa paste
2837,ab33d8f6-f1ec-4568-a052-d43f0578f21a,1l hot vegetable or chicken stock,stock
2838,ab33d8f6-f1ec-4568-a052-d43f0578f21a,"50g toasted flaked almond, plus extra to serve",almond
2839,d88b6d08-8293-4b36-85a1-9f516ee472cd,"250g pack butter, softened, plus extra for greasing",pack butter
2840,d88b6d08-8293-4b36-85a1-9f516ee472cd,250g soft light brown sugar,soft brown sugar
2841,d88b6d08-8293-4b36-85a1-9f516ee472cd,2 tsp vanilla extract,vanilla extract
2842,d88b6d08-8293-4b36-85a1-9f516ee472cd,4 large egg,egg
2843,d88b6d08-8293-4b36-85a1-9f516ee472cd,100g plain flour,plain flour
2844,d88b6d08-8293-4b36-85a1-9f516ee472cd,250g self-raising flour,self-raising flour
2845,d88b6d08-8293-4b36-85a1-9f516ee472cd,100g buttermilk,buttermilk
2846,d88b6d08-8293-4b36-85a1-9f516ee472cd,"2 eating apple, peeled, cored and diced to about 1cm pieces",apple
2847,d88b6d08-8293-4b36-85a1-9f516ee472cd,1 tsp ground cinnamon,cinnamon
2848,d88b6d08-8293-4b36-85a1-9f516ee472cd,1 tsp mixed spice,tsp mixed spice
2849,d88b6d08-8293-4b36-85a1-9f516ee472cd,&#188; tsp ground cloves,tsp cloves
2850,d88b6d08-8293-4b36-85a1-9f516ee472cd,zest 1 lemon,lemon
2851,d88b6d08-8293-4b36-85a1-9f516ee472cd,2 tbsp melted butter,butter
2852,d88b6d08-8293-4b36-85a1-9f516ee472cd,2 tbsp soft light brown sugar,brown sugar
2853,d88b6d08-8293-4b36-85a1-9f516ee472cd,85g currant,currant
2854,d88b6d08-8293-4b36-85a1-9f516ee472cd,85g raisin,raisin
2855,d88b6d08-8293-4b36-85a1-9f516ee472cd,50g mixed peel,mixed peel
2856,d88b6d08-8293-4b36-85a1-9f516ee472cd,"85g icing sugar, sifted",icing sugar
2857,d88b6d08-8293-4b36-85a1-9f516ee472cd,zest and juice 1 lemon,lemon
2858,d88b6d08-8293-4b36-85a1-9f516ee472cd,"a few sugar cubes, roughly crushed",sugar cubes
2859,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,"140g golden caster sugar, plus 200g extra for dusting",golden caster sugar
2860,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,200g plain flour,plain flour
2861,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,1 tsp bicarbonate of soda,tsp bicarbonate of soda
2862,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,100ml natural yogurt,yogurt
2863,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,"2 large egg, beaten",egg
2864,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,1 tsp vanilla extract,vanilla extract
2865,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,"140g butter, melted, plus extra for greasing",butter
2866,46e4aeb4-e064-4ec5-a5c2-83a16555b9cd,12 tsp seedless raspberry jam,tsp seedless raspberry jam
2867,15212bc3-f614-4ee5-8a0e-8ce4261765cf,800g Jerusalem artichoke,Jerusalem artichoke
2868,15212bc3-f614-4ee5-8a0e-8ce4261765cf,squeeze lemon juice,lemon juice
2869,15212bc3-f614-4ee5-8a0e-8ce4261765cf,"25g unsalted butter, plus extra for dotting",unsalted butter
2870,15212bc3-f614-4ee5-8a0e-8ce4261765cf,"5 shallot, finely sliced",shallot
2871,15212bc3-f614-4ee5-8a0e-8ce4261765cf,2 bay leaf,bay leaf
2872,15212bc3-f614-4ee5-8a0e-8ce4261765cf,"1 large thyme sprig, leaves picked","thyme sprig, leaves picked"
2873,15212bc3-f614-4ee5-8a0e-8ce4261765cf,250ml double cream,double cream
2874,15212bc3-f614-4ee5-8a0e-8ce4261765cf,"350g smoked haddock, skinned and cut into 2cm cubes",blank
2875,15212bc3-f614-4ee5-8a0e-8ce4261765cf,25g white breadcrumb,white breadcrumb
2876,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,4 small lamb leg steaks,lamb
2877,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,2 tsp olive oil,olive oil
2878,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,1 heaped tsp ground cumin,heaped tsp ground cumin
2879,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,1 tbsp sugar,sugar
2880,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,3 tbsp white wine vinegar,white wine vinegar
2881,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,"2 carrot, coarsely grated",carrot
2882,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,"2 spring onion, finely sliced",spring onion
2883,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,"400g/14oz white cabbage, very finely sliced","white cabbage, very finely sliced"
2884,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,"5 sweet peppadew peppers, 2 roughly sliced",sweet peppadew peppers
2885,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,3 tbsp mayonnaise,mayonnaise
2886,56c0f289-cfbc-4ffe-b754-6abe89a7da2f,"4 large pitta or flatbread, warmed",pitta
2887,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,400g lamb mince,lamb mince
2888,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,"1 small red onion, &#189; grated, &#189; thinly sliced",red onion
2889,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,"handful parsley, roughly chopped",parsley
2890,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,"handful mint, roughly chopped",mint
2891,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,1 tsp olive oil,olive oil
2892,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,3 tbsp mayonnaise,mayonnaise
2893,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,"2 cooked beetroot, finely chopped",beetroot
2894,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,4 bread roll,bread roll
2895,1ff3adb3-d15f-49cd-a4d6-7347f3e0d75d,couple handfuls watercress,watercress
2896,26fb962f-28e3-4381-a3e5-1d44f827c221,"1 large carrot, peeled and grated",carrot
2897,26fb962f-28e3-4381-a3e5-1d44f827c221,2 tbsp raisin,raisin
2898,26fb962f-28e3-4381-a3e5-1d44f827c221,1 tbsp olive oil,olive oil
2899,26fb962f-28e3-4381-a3e5-1d44f827c221,&#189; tbsp white wine vinegar,white wine vinegar
2900,26fb962f-28e3-4381-a3e5-1d44f827c221,1 tbsp chopped mint,mint
2901,26fb962f-28e3-4381-a3e5-1d44f827c221,4-6 slices brown bread,brown bread
2902,26fb962f-28e3-4381-a3e5-1d44f827c221,3 tbsp houmous,houmous
2903,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,"1 small butternut squash (about 450g), peeled and cut into 2cm cubes",butternut squash
2904,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,"3 raw beetroot (about 200g), cut into 2cm cubes",beetroot
2905,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,"2 small red onion, cut into slim wedges",red onion
2906,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,3 tbsp olive oil,olive oil
2907,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,juice of &#189; lemon,&#189; lemon
2908,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,200g fine polenta,fine polenta
2909,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,&#189; tsp salt,tsp salt
2910,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,50g butter,butter
2911,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,60g grated cheese (we used a 50/50 mix of Parmesan and Taleggio),cheese
2912,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,"a big handful of rocket, to serve",rocket
2913,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,2 tsp freshly picked thyme leaf,tsp freshly picked thyme leaf
2914,63a09a4e-9736-4019-9f5a-b2f3eefb62b8,50g grated Parmesan,Parmesan
2915,6077a1b2-8d73-4820-8780-ab81b017e67d,2 tsp olive oil,olive oil
2916,6077a1b2-8d73-4820-8780-ab81b017e67d,"1 small onion, chopped",onion
2917,6077a1b2-8d73-4820-8780-ab81b017e67d,6 pork sausage,pork sausage
2918,6077a1b2-8d73-4820-8780-ab81b017e67d,"250g chestnut mushroom, halved",chestnut mushroom
2919,6077a1b2-8d73-4820-8780-ab81b017e67d,1 tbsp wholegrain mustard,wholegrain mustard
2920,6077a1b2-8d73-4820-8780-ab81b017e67d,4 tbsp low-fat cr&#232;me fra&#238;che,cr&#232;me fra&#238;che
2921,6077a1b2-8d73-4820-8780-ab81b017e67d,"small bunch parsley, chopped",parsley
2922,6077a1b2-8d73-4820-8780-ab81b017e67d,"85g ciabatta, torn into small chunks",85g ciabatta
2923,9fd61eae-7403-4b73-a32e-3cbeeb86275e,"1 big potato, cut into thin chips",potato
2924,9fd61eae-7403-4b73-a32e-3cbeeb86275e,2 tsp olive oil,olive oil
2925,9fd61eae-7403-4b73-a32e-3cbeeb86275e,&#189; tsp Cajun seasoning,tsp Cajun seasoning
2926,9fd61eae-7403-4b73-a32e-3cbeeb86275e,1 heaped tbsp mayonnaise,mayonnaise
2927,9fd61eae-7403-4b73-a32e-3cbeeb86275e,1 tsp chopped chive,chive
2928,9fd61eae-7403-4b73-a32e-3cbeeb86275e,1 tsp Dijon mustard,Dijon mustard
2929,9fd61eae-7403-4b73-a32e-3cbeeb86275e,"3 slices white or brown bread, lightly toasted",bread
2930,9fd61eae-7403-4b73-a32e-3cbeeb86275e,"2 radish, thinly sliced",radish
2931,9fd61eae-7403-4b73-a32e-3cbeeb86275e,"1 baby or &#189; avocado, sliced",baby avocado
2932,9fd61eae-7403-4b73-a32e-3cbeeb86275e,2 slices salt beef,salt beef
2933,9fd61eae-7403-4b73-a32e-3cbeeb86275e,couple Little Gem lettuce leaves,Little Gem lettuce leaves
2934,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"400g self-raising flour, plus extra for dusting",self-raising flour
2935,32116ad4-47f5-4ed9-93ad-759b56eeeab8,&#188; tsp salt,tsp salt
2936,32116ad4-47f5-4ed9-93ad-759b56eeeab8,1 tsp baking powder,baking powder
2937,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"100g butter, cut into cubes",100g butter
2938,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"3 tbsp caster sugar, plus extra for sprinkling",caster sugar
2939,32116ad4-47f5-4ed9-93ad-759b56eeeab8,200ml buttermilk,buttermilk
2940,32116ad4-47f5-4ed9-93ad-759b56eeeab8,1 tsp vanilla extract,vanilla extract
2941,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"5 tbsp milk, plus extra for brushing",milk
2942,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"good handful small strawberries, halved",strawberries
2943,32116ad4-47f5-4ed9-93ad-759b56eeeab8,small jar good strawberry jam,jar good strawberry jam
2944,32116ad4-47f5-4ed9-93ad-759b56eeeab8,"2 meringue nests, crumbled into chunks",meringue nests
2945,32116ad4-47f5-4ed9-93ad-759b56eeeab8,200ml tub clotted cream,tub clotted cream
2946,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"juice 2 lime, plus wedges to serve",lime
2947,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"1 red chilli, deseeded and chopped",red chilli
2948,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"2 garlic clove, crushed",garlic
2949,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"small bunch coriander, chopped",coriander
2950,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,225g large raw peeled prawn,large raw peeled prawn
2951,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"1 avocado, stoned and skinned",avocado
2952,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"1 heaped tbsp soured cream, plus extra to serve",soured cream
2953,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,1 tbsp olive oil,olive oil
2954,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"1 red pepper, deseeded and sliced",red pepper
2955,a9ba55d0-5a90-4a4a-a125-b56e89b4e8b3,"4 flour tortilla and a good handful mixed salad leaves, to serve",flour tortilla
2956,91e21f95-9234-481a-8439-85ba88f8ab58,"2 tbsp each chopped dill, parsley and mint",dill
2957,91e21f95-9234-481a-8439-85ba88f8ab58,zest and juice 1 lemon,lemon
2958,91e21f95-9234-481a-8439-85ba88f8ab58,1 tbsp harissa paste,harissa paste
2959,91e21f95-9234-481a-8439-85ba88f8ab58,500g/1lb 2oz turkey breast fillets,turkey breast fillets
2960,91e21f95-9234-481a-8439-85ba88f8ab58,2 tbsp white wine or water,white wine
2961,91e21f95-9234-481a-8439-85ba88f8ab58,250g pack bulghar wheat or a mix- we used quinoa and bulghar mix),wheat
2962,91e21f95-9234-481a-8439-85ba88f8ab58,"2 tomato, chopped",tomato
2963,91e21f95-9234-481a-8439-85ba88f8ab58,"&#189; cucumber, diced",cucumber
2964,91e21f95-9234-481a-8439-85ba88f8ab58,100g pack pomegranate seeds,pomegranate seeds
2965,7c4b3c40-5346-476a-b75b-11f4db12fe20,"2 large onion, halved and thinly sliced",onion
2966,7c4b3c40-5346-476a-b75b-11f4db12fe20,5 tbsp olive oil,olive oil
2967,7c4b3c40-5346-476a-b75b-11f4db12fe20,"800g waxy potato, peeled and thinly sliced",potato
2968,7c4b3c40-5346-476a-b75b-11f4db12fe20,6 large egg,egg
2969,1dd6feae-02d2-417d-92b0-987a9f93b9af,"100g unsalted butter, softened, plus extra for the baking sheet",unsalted butter
2970,1dd6feae-02d2-417d-92b0-987a9f93b9af,100g light soft brown sugar,brown sugar
2971,1dd6feae-02d2-417d-92b0-987a9f93b9af,2 tbsp golden syrup,golden syrup
2972,1dd6feae-02d2-417d-92b0-987a9f93b9af,175g self-raising flour,self-raising flour
2973,1dd6feae-02d2-417d-92b0-987a9f93b9af,"25g puffed rice cereal, such as Rice Krispies",25g puffed rice cereal
2974,1dd6feae-02d2-417d-92b0-987a9f93b9af,"dark chocolate chips, for decoration",chocolate
2975,0e10c7ab-1e88-4bc2-9a1a-579fb3c5fb6d,500g gooseberry,gooseberry
2976,0e10c7ab-1e88-4bc2-9a1a-579fb3c5fb6d,3 tbsp caster sugar,sugar
2977,0e10c7ab-1e88-4bc2-9a1a-579fb3c5fb6d,4 tbsp elderflower cordial,elderflower cordial
2978,0e10c7ab-1e88-4bc2-9a1a-579fb3c5fb6d,juice &#189; lemon,juice lemon
2979,0e10c7ab-1e88-4bc2-9a1a-579fb3c5fb6d,350ml double cream,double cream
2980,bdfe0237-242b-4ba5-9462-56eb9a3a17f1,100g brown rice noodle,brown rice noodle
2981,bdfe0237-242b-4ba5-9462-56eb9a3a17f1,500ml chicken or fish stock,chicken stock
2982,bdfe0237-242b-4ba5-9462-56eb9a3a17f1,1 tbsp Thai red curry paste,Thai red curry paste
2983,bdfe0237-242b-4ba5-9462-56eb9a3a17f1,4 dried or fresh kaffir lime leaf,lime leaf
2984,bdfe0237-242b-4ba5-9462-56eb9a3a17f1,1 tbsp fish sauce,fish sauce
